D�a|Oficina|Descripci�n|D�bitos|Cr�ditos|Saldo Bs.|||
23|100|COMI.PP.MISMO BCO C 23/02/21|1.000,00-|0.00|13,208,760.58|||
23|100|RETENCION IGTF|20,00-|0.00|13,208,740.58|||
23|100|COMI.PP.MISMO BCO C 23/02/21|1.000,00-|0.00|13,207,740.58|||
23|100|RETENCION IGTF|20,00-|0.00|13,207,720.58|||
23|100|COMI.PP.MISMO BCO C 23/02/21|1.000,00-|0.00|13,206,720.58|||
23|100|RETENCION IGTF|20,00-|0.00|13,206,700.58|||
23|100|COMISION OTROS BANCOS|14.879,92-|0.00|13,191,820.66|||
23|100|RETENCION IGTF|297,60-|0.00|13,191,523.06|||
23|100|PN0176301220PAGO DE NOMINA|5.951.970,67-|0.00|7,239,552.39|||
23|100|RETENCION IGTF|119.039,41-|0.00|7,120,512.98|||
24|100|COMI.PP.MISMO BCO C 24/02/21|1.000,00-|0.00|7,119,512.98|||
24|100|RETENCION IGTF|20,00-|0.00|7,119,492.98|||
25|100|COMI.PP.MISMO BCO C 25/02/21|1.000,00-|0.00|7,118,492.98|||
25|100|RETENCION IGTF|20,00-|0.00|7,118,472.98|||
25|100|PP0176347201PAGO A PROVEEDOR|0.00|500,000,000.00|507,118,472.98|||
25|100|COMISION MISMO BANCO|65.901,75-|0.00|507,052,571.23|||
25|100|RETENCION IGTF|1.318,04-|0.00|507,051,253.19|||
25|100|COMISION OTROS BANCOS|91.245,45-|0.00|506,960,007.74|||
25|100|RETENCION IGTF|1.824,91-|0.00|506,958,182.83|||
25|100|COMISION OTROS BANCOS|55.300,00-|0.00|506,902,882.83|||
25|100|RETENCION IGTF|1.106,00-|0.00|506,901,776.83|||
25|100|COMISION MISMO BANCO|41.400,00-|0.00|506,860,376.83|||
25|100|RETENCION IGTF|828,00-|0.00|506,859,548.83|||
25|100|COMISION OTROS BANCOS|1.616,49-|0.00|506,857,932.34|||
25|100|RETENCION IGTF|32,33-|0.00|506,857,900.01|||
25|100|PP0176347901PAGO A PROVEEDORES|61.575.680,00-|0.00|445,282,220.01|||
25|100|RETENCION IGTF|1.231.513,60-|0.00|444,050,706.41|||
25|100|COMISION MISMO BANCO|363.620,94-|0.00|443,687,085.47|||
25|100|RETENCION IGTF|7.272,42-|0.00|443,679,813.05|||
25|100|COMISION OTROS BANCOS|132.133,45-|0.00|443,547,679.60|||
25|100|RETENCION IGTF|2.642,67-|0.00|443,545,036.93|||
25|100|TRANSF. VIA INTERNET|0.00|200,000,000.00|643,545,036.93|||
25|100|COMISION MISMO BANCO|91.800,00-|0.00|643,453,236.93|||
25|100|RETENCION IGTF|1.836,00-|0.00|643,451,400.93|||
25|100|COMISION OTROS BANCOS|38.400,00-|0.00|643,413,000.93|||
25|100|RETENCION IGTF|768,00-|0.00|643,412,232.93|||
25|100|PN0176347550PAGO DE NOMINA|80.433.039,40-|0.00|562,979,193.53|||
25|100|RETENCION IGTF|1.608.660,79-|0.00|561,370,532.74|||
25|100|PN0176347600PAGO DE NOMINA|49.720.000,00-|0.00|511,650,532.74|||
25|100|RETENCION IGTF|994.400,00-|0.00|510,656,132.74|||
25|100|PN0176347710PAGO DE NOMINA|646.598,87-|0.00|510,009,533.87|||
25|100|RETENCION IGTF|12.931,98-|0.00|509,996,601.89|||
25|100|PN0176353750PAGO DE NOMINA|295.267.864,20-|0.00|214,728,737.69|||
25|100|RETENCION IGTF|5.905.357,28-|0.00|208,823,380.41|||
25|100|PN0176353970PAGO DE NOMINA|76.560.000,00-|0.00|132,263,380.41|||
25|100|RETENCION IGTF|1.531.200,00-|0.00|130,732,180.41|||
26|101|COMISION DE MANTENIMIENTO DE C|1.950,00-||130,730,230.41||||
26|101|RETENCION IGTF|39,00-|0.00|130,730,191.41|||
26|101|INTERESES POR SOBREGIRO|931,57-|0.00|130,729,259.84|||
26|101|RETENCION IGTF|18,63-|0.00|130,729,241.21|||
26|100|PP0176370171PAGO A PROVEEDORES|35.170.690,36-|0.00|95,558,550.85|||
26|100|RETENCION IGTF|703.413,81-|0.00|94,855,137.04|||
26|100|PP0176374391PAGO A PROVEEDORES|20.913.280,00-|0.00|73,941,857.04|||
26|100|RETENCION IGTF|418.265,60-|0.00|73,523,591.44|||
26|100|TRANSF. VIA INTERNET|0.00|1,000,000,000.00|1,073,523,591.44|||
